Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
ABlank_S4_L001	NA	NA	ABlank	NA	NA	negative	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA	NA	NA	NA
AC4_S4_L001	40.81196667	-72.59031667	AC4	26	C4	NA	20250811	8/11/25	2025	8	11	WEST	CANAL REEF 4	OYSTER REEF	6.5	25.5	30.4	NA	NA
AC5_S4_L001	40.81168333	-72.59206667	AC5	34	C5	NA	20250811	8/11/25	2025	8	11	WEST	CANAL REEF 5	OYSTER REEF	6	25.6	30.4	NA	NA
APN_S4_L001	40.8406	-72.5667	APN	47	PN	NA	20250811	8/11/25	2025	8	11	WEST	PINE NECK REEF	OYSTER REEF	7.4	25.7	30.8	NA	NA
AS1_S4_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS1.1_S4_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS1.2_S4_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS3_S4_L001	40.82661667	-72.56753333	AS3	31	S3	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 3	OYSTER REEF	6.4	24.9	31.3	NA	NA
AS6_S4_L001	40.82493333	-72.56288333	AS6	32	S6	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 6	OYSTER REEF	6.9	25.4	31.1	NA	NA
AS9_S4_L001	40.82318333	-72.56958333	AS9	33	S9	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 9	OYSTER REEF	7.2	25.6	30.9	NA	NA
AT1_S6_L002	40.833381	-72.536572	AT1	27	T1	NA	20250811	8/11/25	2025	8	11	WEST	TIANA BEACH EELGRASS	EELGRASS	6.5	24.4	31.6	NA	NA
AT2_S6_L002	40.84476	-72.50889	AT2	28	T2	NA	20250811	8/11/25	2025	8	11	WEST	PONQUOGUE BRIDGE EELGRASS	EELGRASS	7.9	22.9	32.2	NA	NA
AT3_S6_L002	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	NORTHEASTERN BAY EELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
AT3.1_S6_L002	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
AT3.2_S6_L002	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
