Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
T2S7_S1_L001	40.86263903	-72.49350901	T2S7	2	2	NA	20250721	7/21/25	2025	7	21	EAST	CORMORANT POINT	OPEN WATER	7	24.8	30.7	12:17	SUNNY
T2S8_S1_L001	40.88104301	-72.48041698	T2S8	1	1	NA	20250721	7/21/25	2025	7	21	EAST	SHINNECOCK HILLS	OPEN WATER	7.6	21	31.9	12:43	SUNNY
T2S9_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	1:02	SUNNY
T2S9.1_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	2:02	SUNNY
T2S9.2_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	3:02	SUNNY
T2STiana_S1_L001	40.86009	-72.537887	T2STiana	24	TC	NA	20250721	7/21/25	2025	7	21	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T2SWessuck_S1_L001	40.83866	-72.57004	T2SWessuck	23	WC	NA	20250721	7/21/25	2025	7	21	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T3Blank_S2_L001	NA	NA	T3Blank	NA	NA	negative	20250805	8/5/25	2025	8	5	NA	NA	NA	NA	NA	NA	NA	NA
T3S1_S2_L001	40.83347403	-72.55252498	T3S1	12	12	NA	20250805	8/5/25	2025	8	5	WEST	PINE NECK	OPEN WATER	7.81	24.4	31.6	9:55	CLOUDY
T3S10_S2_L001	40.85579203	-72.45562004	T3S10	11	11	NA	20250805	8/5/25	2025	8	5	EAST	SOUTH GRASS	OPEN WATER	9.31	22.1	23.9	1:41	CLOUDY
T3S11_S2_L001	40.87629701	-72.45737102	T3S11	7	7	NA	20250805	8/5/25	2025	8	5	EAST	LITTLE POND	OPEN WATER	6.71	24.8	31.8	2:03	CLOUDY
T3S2_S2_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	10:22	CLOUDY
T3S2.1_S2_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	11:22	CLOUDY
T3S2.2_S2_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	12:22	CLOUDY
T3S3_S2_L001	40.82872904	-72.53193802	T3S3	9	9	NA	20250805	8/5/25	2025	8	5	WEST	DUNE ROAD	OPEN WATER	8.02	24.5	31.6	10:44	CLOUDY
T3S4_S2_L001	40.84862902	-72.54801502	T3S4	8	8	NA	20250805	8/5/25	2025	8	5	WEST	WEST TIANA	OPEN WATER	8.36	25	31.4	11:08	CLOUDY
T3S5_S2_L001	40.84659498	-72.50059901	T3S5	4	4	NA	20250805	8/5/25	2025	8	5	EAST	PONQUOGUE BRIDGE	OPEN WATER	8.72	23	32.2	11:48	CLOUDY
T3S6_S2_L001	40.850855	-72.488632	T3S6	3	3	NA	20250805	8/5/25	2025	8	5	EAST	INLET	OPEN WATER	8.82	25.2	31.2	12:14	CLOUDY
T3S7_S2_L001	40.86263903	-72.49350901	T3S7	2	2	NA	20250805	8/5/25	2025	8	5	EAST	CORMORANT POINT	OPEN WATER	8.25	24.8	31	12:33	CLOUDY
