Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
ABlank_S3_L001	NA	NA	ABlank	NA	NA	negative	20250811	8/11/25	2025	8	11	NA	NA	NA	NA	NA	NA	NA	NA
AC4_S3_L001	40.81196667	-72.59031667	AC4	26	C4	NA	20250811	8/11/25	2025	8	11	WEST	CANAL REEF 4	OYSTER REEF	6.5	25.5	30.4	NA	NA
AC5_S3_L001	40.81168333	-72.59206667	AC5	34	C5	NA	20250811	8/11/25	2025	8	11	WEST	CANAL REEF 5	OYSTER REEF	6	25.6	30.4	NA	NA
APN_S3_L001	40.8406	-72.5667	APN	47	PN	NA	20250811	8/11/25	2025	8	11	WEST	PINE NECK REEF	OYSTER REEF	7.4	25.7	30.8	NA	NA
AS1_S3_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS1.1_S3_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS1.2_S3_L001	40.82408333	-72.56621667	AS1	25	S1	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 1	OYSTER REEF	6.8	25.6	30.8	NA	NA
AS3_S3_L001	40.82661667	-72.56753333	AS3	31	S3	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 3	OYSTER REEF	6.4	24.9	31.3	NA	NA
AS6_S3_L001	40.82493333	-72.56288333	AS6	32	S6	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 6	OYSTER REEF	6.9	25.4	31.1	NA	NA
AS9_S3_L001	40.82318333	-72.56958333	AS9	33	S9	NA	20250811	8/11/25	2025	8	11	WEST	SEDGE REEF 9	OYSTER REEF	7.2	25.6	30.9	NA	NA
AT1_S3_L001	40.833381	-72.536572	AT1	27	T1	NA	20250811	8/11/25	2025	8	11	WEST	TIANA BEACH EELGRASS	EELGRASS	6.5	24.4	31.6	NA	NA
AT2_S4_L001	40.84476	-72.50889	AT2	28	T2	NA	20250811	8/11/25	2025	8	11	WEST	PONQUOGUE BRIDGE EELGRASS	EELGRASS	7.9	22.9	32.2	NA	NA
AT3_S4_L001	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	NORTHEASTERN BAY EELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
AT3.1_S4_L001	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
AT3.2_S4_L001	40.880681	-72.465141	AT3	29	T3	NA	20250811	8/11/25	2025	8	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.4	25.7	30.6	NA	NA
AT4_S4_L001	40.85816	-72.49513	AT4	30	T4	NA	20250811	8/11/25	2025	8	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.8	23.8	31.9	NA	NA
AT5_S4_L001	40.843667	-72.50105	AT5	48	T5	NA	20250811	8/11/25	2025	8	11	EAST	PONQUOGUE BRIDGE TROPICAL	EELGRASS	8.8	22.1	32.3	NA	NA
JBlank_S3_L001	NA	NA	JBlank	NA	NA	negative	20250714	7/14/25	2025	7	14	NA	NA	NA	NA	NA	NA	NA	NA
JC4_S3_L001	40.81196667	-72.59031667	JC4	26	C4	NA	20250714	7/14/25	2025	7	14	WEST	CANAL REEF 4	OYSTER REEF	5.84	26.1	30.6	NA	NA
JC5_S3_L001	40.81168333	-72.59206667	JC5	34	C5	NA	20250714	7/14/25	2025	7	14	WEST	CANAL REEF 5	OYSTER REEF	5.32	25.9	30.6	NA	NA
JPN_S3_L001	40.8406	-72.5667	JPN	47	PN	NA	20250714	7/14/25	2025	7	14	WEST	PINE NECK REEF	OYSTER REEF	7.45	25.6	30.1	NA	NA
JS1_S3_L001	40.82408333	-72.56621667	JS1	25	S1	NA	20250714	7/14/25	2025	7	14	WEST	SEDGE REEF 1	OYSTER REEF	6.17	31.3	25.3	NA	NA
JS1.1_S3_L001	40.82408333	-72.56621667	JS1	25	S1	NA	20250714	7/14/25	2025	7	14	WEST	SEDGE REEF 1	OYSTER REEF	6.17	31.3	25.3	NA	NA
JS1.2_S3_L001	40.82408333	-72.56621667	JS1	25	S1	NA	20250714	7/14/25	2025	7	14	WEST	SEDGE REEF 1	OYSTER REEF	6.17	31.3	25.3	NA	NA
JS3_S3_L001	40.82661667	-72.56753333	JS3	31	S3	NA	20250714	7/14/25	2025	7	14	WEST	SEDGE REEF 3	OYSTER REEF	6.07	24.8	31.3	NA	NA
JS6_S3_L001	40.82493333	-72.56288333	JS6	32	S6	NA	20250714	7/14/25	2025	7	14	WEST	SEDGE REEF 6	OYSTER REEF	7.04	25.8	31.4	NA	NA
JS9_S3_L001	40.82318333	-72.56958333	JS9	33	S9	NA	20250714	7/15/25	2025	7	14	WEST	SEDGE REEF 9	OYSTER REEF	6.35	25.7	31.2	NA	NA
JT1_S3_L001	40.833381	-72.536572	JT1	27	T1	NA	20250714	7/14/25	2025	7	14	WEST	TIANA BEACH EELGRASS	EELGRASS	6.56	23.9	31.8	NA	NA
JT2_S3_L001	40.84476	-72.50889	JT2	28	T2	NA	20250714	7/14/25	2025	7	14	WEST	PONQUOGUE BRIDGE EELGRASS	EELGRASS	7.34	22.4	32	NA	NA
JT3_S3_L001	40.880681	-72.465141	JT3	29	T3	NA	20250714	7/14/25	2025	7	14	EAST	NORTHEASTERN BAY EELGRASS	EELGRASS	7.61	26.1	30.2	NA	NA
JT4_S3_L001	40.85816	-72.49513	JT4	30	T4	NA	20250714	7/14/25	2025	7	14	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.1	23.8	31.4	NA	NA
JT4.1_S3_L001	40.85816	-72.49513	JT4	30	T4	NA	20250714	7/14/25	2025	7	14	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.1	23.8	31.4	NA	NA
JT4.2_S3_L001	40.85816	-72.49513	JT4	30	T4	NA	20250714	7/14/25	2025	7	14	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	7.1	23.8	31.4	NA	NA
JT5_S3_L001	40.843667	-72.50105	JT5	48	T5	NA	20250714	7/14/25	2025	7	14	EAST	PONQUOGUE BRIDGE TROPICAL	EELGRASS	8.44	21.4	32.3	NA	NA
Positive.BP_S3_L001	NA	NA	Positive.BP	NA	NA	positive	20250917	9/17/25	2025	9	17	NA	NA	NA	NA	NA	NA	NA	NA
Positive.GP_S3_L001	NA	NA	Positive.GP	NA	NA	positive	20250820	8/20/25	2025	8	20	NA	NA	NA	NA	NA	NA	NA	NA
SBlank_S3_L001	NA	NA	SBlank	NA	NA	negative	20250911	9/11/25	2025	9	11	NA	NA	NA	NA	NA	NA	NA	NA
SC4_S3_L001	40.81196667	-72.59031667	SC4	26	C4	NA	20250911	9/11/25	2025	9	11	WEST	CANAL REEF 4	OYSTER REEF	8.2	20.9	31.2	NA	NA
