Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
ST5_S4_L001	40.843667	-72.50105	ST5	48	T5	NA	20250911	9/11/25	2025	9	11	EAST	PONQUOGUE BRIDGE TROPICAL	EELGRASS	8.6	20.9	32.7	NA	NA
T1Blank_S1_L001	NA	NA	T1Blank	NA	NA	negative	20250708	7/8/25	2025	7	8	NA	NA	NA	NA	NA	NA	NA	NA
T1S1_S1_L001	40.83347403	-72.55252498	T1S1	12	12	NA	20250708	7/8/25	2025	7	8	WEST	PINE NECK	OPEN WATER	6.5	24.4	31.8	9:30	PARTLY CLOUDY
T1S10_S1_L001	40.85579203	-72.45562004	T1S10	11	11	NA	20250708	7/8/25	2025	7	8	EAST	SOUTH GRASS	OPEN WATER	7.6	27.4	30.5	1:24	PARTLY CLOUDY
T1S11_S1_L001	40.87629701	-72.45737102	T1S11	7	7	NA	20250708	7/8/25	2025	7	8	EAST	LITTLE POND	OPEN WATER	8.9	22.9	32.7	1:50	PARTLY CLOUDY
T1S2_S1_L001	40.83791502	-72.53677203	T1S2	10	10	NA	20250708	7/8/25	2025	7	8	WEST	WEST MID BAY	OPEN WATER	6.4	25	31.4	9:48	PARTLY CLOUDY
T1S3_S1_L001	40.82872904	-72.53193802	T1S3	9	9	NA	20250708	7/8/25	2025	7	8	WEST	DUNE ROAD	OPEN WATER	6.45	26	31.4	10:33	PARTLY CLOUDY
T1S4_S1_L001	40.84862902	-72.54801502	T1S4	8	8	NA	20250708	7/8/25	2025	7	8	WEST	WEST TIANA	OPEN WATER	7.16	26.6	30.9	11:07	PARTLY CLOUDY
T1S5_S1_L001	40.84659498	-72.50059901	T1S5	4	4	NA	20250708	7/8/25	2025	7	8	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.77	22.7	32.4	11:32	PARTLY CLOUDY
T1S6_S1_L001	40.850855	-72.488632	T1S6	3	3	NA	20250708	7/8/25	2025	7	8	EAST	INLET	OPEN WATER	7.4	22.7	32.4	11:57	PARTLY CLOUDY
T1S7_S1_L001	40.86263903	-72.49350901	T1S7	2	2	NA	20250708	7/8/25	2025	7	8	EAST	CORMORANT POINT	OPEN WATER	5.34	21.7	32.7	12:43	PARTLY CLOUDY
T1S8_S1_L001	40.88104301	-72.48041698	T1S8	1	1	NA	20250708	7/8/25	2025	7	8	EAST	SHINNECOCK HILLS	OPEN WATER	6.8	26.8	30.2	1:00	PARTLY CLOUDY
T1S9_S1_L001	40.86852003	-72.47460597	T1S9	13	13	NA	20250708	7/8/25	2025	7	8	EAST	EAST MID BAY	OPEN WATER	6.9	26	31	12:17	PARTLY CLOUDY
T1STiana_S1_L001	40.86009	-72.537887	T1STiana	24	TC	NA	20250708	7/8/25	2025	7	8	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	PARTLY CLOUDY
T1SWessuck_S1_L001	40.83866	-72.57004	T1SWessuck	23	WC	NA	20250708	7/8/25	2025	7	8	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	PARTLY CLOUDY
T2Blank_S1_L001	NA	NA	T2Blank	NA	NA	negative	20250721	7/21/25	2025	7	21	NA	NA	NA	NA	NA	NA	NA	NA
T2S1_S1_L001	40.83347403	-72.55252498	T2S1	12	12	NA	20250721	7/21/25	2025	7	21	WEST	PINE NECK	OPEN WATER	6.4	24.2	30.7	9:44	SUNNY
T2S10_S1_L001	40.85579203	-72.45562004	T2S10	11	11	NA	20250721	7/21/25	2025	7	21	EAST	SOUTH GRASS	OPEN WATER	7.8	19.7	31.9	1:27	SUNNY
T2S11_S1_L001	40.87629701	-72.45737102	T2S11	7	7	NA	20250721	7/21/25	2025	7	21	EAST	LITTLE POND	OPEN WATER	6.9	25.2	30.8	1:52	SUNNY
T2S2_S1_L001	40.83791502	-72.53677203	T2S2	10	10	NA	20250721	7/21/25	2025	7	21	WEST	WEST MID BAY	OPEN WATER	5.4	24.8	31	10:28	SUNNY
T2S2.1_S1_L001	40.83791502	-72.53677203	T2S2	10	10	NA	20250721	7/21/25	2025	7	21	WEST	WEST MID BAY	OPEN WATER	5.4	24.8	31	11:28	SUNNY
T2S2.2_S1_L001	40.83791502	-72.53677203	T2S2	10	10	NA	20250721	7/21/25	2025	7	21	WEST	WEST MID BAY	OPEN WATER	5.4	24.8	31	12:28	SUNNY
T2S3_S1_L001	40.82872904	-72.53193802	T2S3	9	9	NA	20250721	7/21/25	2025	7	21	WEST	DUNE ROAD	OPEN WATER	3	24	30.8	10:09	SUNNY
T2S4_S1_L001	40.84862902	-72.54801502	T2S4	8	8	NA	20250721	7/21/25	2025	7	21	WEST	WEST TIANA	OPEN WATER	6.7	24.9	30.7	11:07	SUNNY
T2S5_S1_L001	40.84659498	-72.50059901	T2S5	4	4	NA	20250721	7/21/25	2025	7	21	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.3	23.4	31.4	11:37	SUNNY
T2S6_S1_L001	40.850855	-72.488632	T2S6	3	3	NA	20250721	7/21/25	2025	7	21	EAST	INLET	OPEN WATER	7	23.8	30.9	12:00	SUNNY
T2S7_S1_L001	40.86263903	-72.49350901	T2S7	2	2	NA	20250721	7/21/25	2025	7	21	EAST	CORMORANT POINT	OPEN WATER	7	24.8	30.7	12:17	SUNNY
T2S8_S1_L001	40.88104301	-72.48041698	T2S8	1	1	NA	20250721	7/21/25	2025	7	21	EAST	SHINNECOCK HILLS	OPEN WATER	7.6	21	31.9	12:43	SUNNY
T2S9_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	1:02	SUNNY
T2S9.1_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	2:02	SUNNY
T2S9.2_S1_L001	40.86852003	-72.47460597	T2S9	13	13	NA	20250721	7/21/25	2025	7	21	EAST	EAST MID BAY	OPEN WATER	8	25	30.5	3:02	SUNNY
T2STiana_S1_L001	40.86009	-72.537887	T2STiana	24	TC	NA	20250721	7/21/25	2025	7	21	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T2SWessuck_S1_L001	40.83866	-72.57004	T2SWessuck	23	WC	NA	20250721	7/21/25	2025	7	21	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T3Blank_S1_L001	NA	NA	T3Blank	NA	NA	negative	20250805	8/5/25	2025	8	5	NA	NA	NA	NA	NA	NA	NA	NA
T3S1_S1_L001	40.83347403	-72.55252498	T3S1	12	12	NA	20250805	8/5/25	2025	8	5	WEST	PINE NECK	OPEN WATER	7.81	24.4	31.6	9:55	CLOUDY
T3S10_S1_L001	40.85579203	-72.45562004	T3S10	11	11	NA	20250805	8/5/25	2025	8	5	EAST	SOUTH GRASS	OPEN WATER	9.31	22.1	23.9	1:41	CLOUDY
T3S11_S1_L001	40.87629701	-72.45737102	T3S11	7	7	NA	20250805	8/5/25	2025	8	5	EAST	LITTLE POND	OPEN WATER	6.71	24.8	31.8	2:03	CLOUDY
T3S2_S1_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	10:22	CLOUDY
T3S2.1_S1_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	11:22	CLOUDY
T3S2.2_S1_L001	40.83791502	-72.53677203	T3S2	10	10	NA	20250805	8/5/25	2025	8	5	WEST	WEST MID BAY	OPEN WATER	6.52	25.6	32.1	12:22	CLOUDY
T3S3_S1_L001	40.82872904	-72.53193802	T3S3	9	9	NA	20250805	8/5/25	2025	8	5	WEST	DUNE ROAD	OPEN WATER	8.02	24.5	31.6	10:44	CLOUDY
T3S4_S1_L001	40.84862902	-72.54801502	T3S4	8	8	NA	20250805	8/5/25	2025	8	5	WEST	WEST TIANA	OPEN WATER	8.36	25	31.4	11:08	CLOUDY
T3S5_S1_L001	40.84659498	-72.50059901	T3S5	4	4	NA	20250805	8/5/25	2025	8	5	EAST	PONQUOGUE BRIDGE	OPEN WATER	8.72	23	32.2	11:48	CLOUDY
T3S6_S1_L001	40.850855	-72.488632	T3S6	3	3	NA	20250805	8/5/25	2025	8	5	EAST	INLET	OPEN WATER	8.82	25.2	31.2	12:14	CLOUDY
T3S7_S1_L001	40.86263903	-72.49350901	T3S7	2	2	NA	20250805	8/5/25	2025	8	5	EAST	CORMORANT POINT	OPEN WATER	8.25	24.8	31	12:33	CLOUDY
T3S8_S1_L001	40.88104301	-72.48041698	T3S8	1	1	NA	20250805	8/5/25	2025	8	5	EAST	SHINNECOCK HILLS	OPEN WATER	7.44	25.5	40.6	12:55	CLOUDY
T3S9_S1_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	1:18	CLOUDY
T3S9.1_S1_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	2:18	CLOUDY
T3S9.2_S1_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	3:18	CLOUDY
T3STiana_S2_L001	40.86009	-72.537887	T3STiana	24	TC	NA	20250805	8/5/25	2025	8	5	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY
T3SWessuck_S2_L001	40.83866	-72.57004	T3SWessuck	23	WC	NA	20250805	8/5/25	2025	8	5	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY
T4Blank_S2_L001	NA	NA	T4Blank	NA	NA	negative	20250818	8/18/25	2025	8	18	NA	NA	NA	NA	NA	NA	NA	NA
