Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
T4S1_S2_L001	40.83347403	-72.55252498	T4S1	12	12	NA	20250818	8/18/25	2025	8	18	WEST	PINE NECK	OPEN WATER	6	25	31.1	9:41	CLOUDY AND WINDY
T4S10_S2_L001	40.85579203	-72.45562004	T4S10	11	11	NA	20250818	8/18/25	2025	8	18	EAST	SOUTH GRASS	OPEN WATER	7.5	24.5	31.4	2:05	CLOUDY AND WINDY
T4S11_S2_L001	40.87629701	-72.45737102	T4S11	7	7	NA	20250818	8/18/25	2025	8	18	EAST	LITTLE POND	OPEN WATER	6.7	25.1	30.7	2:26	CLOUDY AND WINDY
T4S2_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	10:26	CLOUDY AND WINDY
T4S2.1_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	11:26	CLOUDY AND WINDY
T4S2.2_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	12:26	CLOUDY AND WINDY
T4S3_S2_L001	40.82872904	-72.53193802	T4S3	9	9	NA	20250818	8/18/25	2025	8	18	WEST	DUNE ROAD	OPEN WATER	6	23.7	32.1	10:03	CLOUDY AND WINDY
T4S4_S2_L001	40.84862902	-72.54801502	T4S4	8	8	NA	20250818	8/18/25	2025	8	18	WEST	WEST TIANA	OPEN WATER	6.2	24.9	31.7	11:04	CLOUDY AND WINDY
T4S5_S2_L001	40.84659498	-72.50059901	T4S5	4	4	NA	20250818	8/18/25	2025	8	18	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.1	22.7	32.1	11:45	CLOUDY AND WINDY
T4S6_S2_L001	40.850855	-72.488632	T4S6	3	3	NA	20250818	8/18/25	2025	8	18	EAST	INLET	OPEN WATER	7.3	23.9	31.5	12:11	CLOUDY AND WINDY
T4S7_S2_L001	40.86263903	-72.49350901	T4S7	2	2	NA	20250818	8/18/25	2025	8	18	EAST	CORMORANT POINT	OPEN WATER	6.9	24.2	31.3	1:07	CLOUDY AND WINDY
T4S8_S2_L001	40.88104301	-72.48041698	T4S8	1	1	NA	20250818	8/18/25	2025	8	18	EAST	SHINNECOCK HILLS	OPEN WATER	6.6	25.2	30.2	1:26	CLOUDY AND WINDY
T4S9_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	12:32	CLOUDY AND WINDY
T4S9.1_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	13:32	CLOUDY AND WINDY
T4S9.2_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	14:32	CLOUDY AND WINDY
T4STiana_S2_L001	40.86009	-72.537887	T4STiana	24	TC	NA	20250818	8/18/25	2025	8	18	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
T4SWessuck_S2_L001	40.83866	-72.57004	T4SWessuck	23	WC	NA	20250818	8/18/25	2025	8	18	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
T5Blank_S2_L001	NA	NA	T5Blank	NA	NA	negative	20250902	9/2/25	2025	9	2	NA	NA	NA	NA	NA	NA	NA	NA
T5S1_S2_L001	40.83347403	-72.55252498	T5S1	12	12	NA	20250902	9/2/25	2025	9	2	WEST	PINE NECK	OPEN WATER	6.2	21.1	31.6	9:49	SUNNY
T5S10_S2_L001	40.85579203	-72.45562004	T5S10	11	11	NA	20250902	9/2/25	2025	9	2	EAST	SOUTH GRASS	OPEN WATER	7.1	21.4	32.4	1:18	SUNNY
T5S11_S2_L001	40.87629701	-72.45737102	T5S11	7	7	NA	20250902	9/2/25	2025	9	2	EAST	LITTLE POND	OPEN WATER	6.9	22.2	32.2	1:40	SUNNY
T5S2_S2_L001	40.83791502	-72.53677203	T5S2	10	10	NA	20250902	9/2/25	2025	9	2	WEST	WEST MID BAY	OPEN WATER	6.4	21.2	32.2	10:13	SUNNY
